,file1,start1,end1
11,10289462_0.java,1,49
12,10315932_0.java,1,13
9,10777586_0.java,1,17
1,10930216_1.java,1,17
2,11861598_0.java,1,19
13,14845581_1.java,1,11
8,15168494_0.java,1,30
5,15889119_0.java,1,17
3,16180910_0.java,1,15
0,23586872_1.java,1,21
7,3751463_0.java,1,18
10,3758110_0.java,1,19
14,5266856_0.java,1,17
6,5660519_0.java,1,13
4,9291241_1.java,1,12
