mrr,mop
0.9017444564467251,0.07355144710977903
0.8986528223329467,0.09768251632640372
0.8985792638947265,0.1918253597453124
0.8961248172867133,0.3494123298818209
0.8953435281075033,0.5472405061133058
0.8915871146059625,0.5488869611735904
0.8872029264438992,0.5541234110559337
0.8695286029685005,0.5853042823513838
0.8690237663374664,0.7244564324416246
0.8690209533029899,0.7245505547298662
0.8683189437629117,0.7380476442992028
0.8661031653706512,0.7382356900797895
0.865550417491411,0.7385665384075787
