execution,filename,ngramSize,cloneSize,QRPercentileNorm,QRPercentileT2,QRPercentileT1,QRPercentileOrig,normBoost,T2Boost,T1Boost,origBoost,simThreshold,time,"WA(MRR,MOP) - (0.5,0.5)","WA(MRR,MOP) - (0.7,0.3)","WA(MRR,MOP) - (0.3,0.7)",MRR,MOP
343,"nS_17_cS_7_qrN_12_qrT2_20_qrT1_4_qrO_2_boN_12_boT2_14_boT1_4_boOr_20_simT_60%,70%,80%,90%_75927051-ea3e-4541-8b62-d1ffc423cf56.csv",17,7,12,20,4,2,12,14,4,20,"60%,70%,80%,90%",0:09:36.771155,0.8023949195446733,0.8287036343195735,0.7760862047697732,0.8681667064819237,0.7366231326074231
366,"nS_17_cS_7_qrN_12_qrT2_8_qrT1_4_qrO_2_boN_12_boT2_14_boT1_4_boOr_20_simT_60%,70%,80%,90%_82db5a5f-b22f-433e-ad0d-1d453057fbb7.csv",17,7,12,8,4,2,12,14,4,20,"60%,70%,80%,90%",0:03:30.857857,0.8023949195446733,0.8287036343195735,0.7760862047697732,0.8681667064819237,0.7366231326074231
393,"nS_17_cS_7_qrN_2_qrT2_20_qrT1_4_qrO_2_boN_12_boT2_14_boT1_4_boOr_20_simT_60%,70%,80%,90%_5a30a125-2ecd-4e11-bed8-9a2dc8b211ee.csv",17,7,2,20,4,2,12,14,4,20,"60%,70%,80%,90%",0:05:03.246296,0.8023949195446733,0.8287036343195735,0.7760862047697732,0.8681667064819237,0.7366231326074231
396,"nS_17_cS_7_qrN_2_qrT2_8_qrT1_4_qrO_2_boN_12_boT2_14_boT1_4_boOr_20_simT_60%,70%,80%,90%_abf78ff2-c911-4dfd-8cbf-6ec95e405369.csv",17,7,2,8,4,2,12,14,4,20,"60%,70%,80%,90%",0:04:03.304013,0.8023949195446733,0.8287036343195735,0.7760862047697732,0.8681667064819237,0.7366231326074231
428,"nS_17_cS_7_qrN_6_qrT2_8_qrT1_4_qrO_2_boN_12_boT2_14_boT1_4_boOr_20_simT_60%,70%,80%,90%_6aa8150b-a1a8-4fdb-a44b-7cdde8f07285.csv",17,7,6,8,4,2,12,14,4,20,"60%,70%,80%,90%",0:03:59.618807,0.8023949195446733,0.8287036343195735,0.7760862047697732,0.8681667064819237,0.7366231326074231
436,"nS_17_cS_7_qrN_2_qrT2_20_qrT1_12_qrO_2_boN_12_boT2_14_boT1_4_boOr_20_simT_60%,70%,80%,90%_7b529354-d350-419b-8422-212454fa745b.csv",17,7,2,20,12,2,12,14,4,20,"60%,70%,80%,90%",0:06:44.461538,0.8023949195446733,0.8287036343195735,0.7760862047697732,0.8681667064819237,0.7366231326074231
